DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,46,0.0,0.66,-11.26748,-52.46563,37.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,SÃO JOSÉ DO XINGU,Amazônia,42,0.0,0.63,-11.00075,-52.33715,25.8
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,40,0.0,0.37,-10.8751,-54.32029,1238.4
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,35,0.0,0.38,-10.87231,-54.29779,308.7
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,42,0.0,0.34,-10.73797,-54.34948,51.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,36,0.0,0.35,-10.73508,-54.32688,91.3
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,40,0.0,0.34,-10.73122,-54.34523,95.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,34,0.0,0.35,-10.7285,-54.32254,57.6
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,45,0.0,1.0,-10.32357,-54.06914,24.2
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,45,0.0,1.0,-10.31578,-54.11347,17.0
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,9,0.0,0.34,-12.21818,-54.89195,90.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,9,0.0,0.32,-12.21505,-54.86554,45.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,9,0.0,0.34,-12.2036,-54.89345,41.9
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazônia,9,0.0,0.77,-11.92114,-54.40217,33.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazônia,9,0.0,0.42,-11.91541,-54.40993,41.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazônia,9,0.0,0.41,-11.91246,-54.38606,42.4
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,UNIÃO DO SUL,Amazônia,9,0.0,0.42,-11.77888,-54.26368,31.6
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,UNIÃO DO SUL,Amazônia,11,0.0,0.43,-11.77608,-54.24064,27.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,43,0.0,0.48,-11.64815,-54.056,43.7
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazônia,42,0.0,0.48,-11.64051,-54.06174,25.9
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,UNIÃO DO SUL,Amazônia,24,0.0,0.5,-11.48887,-54.0201,35.0
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,UNIÃO DO SUL,Amazônia,35,0.0,0.54,-11.31602,-53.98748,28.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,46,0.0,0.89,-11.17936,-54.05415,26.8
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,41,0.0,0.39,-10.90236,-54.31713,37.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,38,0.0,0.39,-10.89948,-54.29436,17.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,41,0.0,0.38,-10.88873,-54.31875,3383.3
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,37,0.0,0.38,-10.8859,-54.29612,1527.9
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELÂNDIA,Amazônia,44,0.0,0.37,-10.87793,-54.34312,78.3
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATÃ,Amazônia,31,0.0,1.0,-12.81283,-55.06009,32.5
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATÃ,Amazônia,31,0.0,0.75,-12.81197,-55.05555,30.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,PRAINHA,Amazônia,2,0.0,0.0,-1.63097,-53.42953,8.2
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,5,0.0,0.81,-3.52611,-53.81921,15.1
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,URUARÁ,Amazônia,5,0.0,0.1,-3.52386,-53.80359,27.4
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,NOVO PROGRESSO,Amazônia,27,0.0,1.0,-9.38599,-55.88682,53.4
2024/06/13 17:24:00,AQUA_M-T,Brasil,PARÁ,NOVO PROGRESSO,Amazônia,27,0.0,1.0,-9.38491,-55.88027,54.6
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA CANAÃ DO NORTE,Amazônia,44,0.0,0.46,-10.79258,-56.23632,32.3
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,TABAPORÃ,Amazônia,9,0.0,1.0,-11.43636,-56.45434,64.1
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,TABAPORÃ,Amazônia,9,0.0,0.36,-11.4323,-56.42014,39.3
2024/06/13 17:26:00,AQUA_M-T,Brasil,PARÁ,SANTARÉM,Amazônia,2,0.43,0.0,-2.81942,-55.27716,12.8
2024/06/13 17:24:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAÍTA,Amazônia,10,0.0,0.32,-9.46031,-56.64783,67.6
